P (Pa),y (mm),U (m/s),U/Um,y/b
451,-10,27.63,0.50253,-2.00000
1296,-9,46.84,0.85187,-1.80000
1774,-8,54.81,0.99666,-1.60000
1786,-7,54.99,1.00003,-1.40000
1786,-6,54.99,1.00003,-1.20000
1786,-5,54.99,1.00003,-1.00000
1787,-4,55.01,1.00031,-0.80000
1788,-3,55.02,1.00059,-0.60000
1789,-2,55.04,1.00087,-0.40000
1788,-1,55.02,1.00059,-0.20000
1786,0,54.99,1.00003,0.00000
1785,1,54.98,0.99975,0.20000
1784,2,54.96,0.99947,0.40000
1786,3,54.99,1.00003,0.60000
1785,4,54.98,0.99975,0.80000
1784,5,54.96,0.99947,1.00000
1782,6,54.93,0.99891,1.20000
1783,7,54.95,0.99919,1.40000
1453,8,49.60,0.90199,1.60000
224,9,19.48,0.35416,1.80000
,,,,
,,,,
,,,,