P (Pa),y,U (m/s),U/Um,y/b
4.46,-30,2.75,0.06439,-2.00000
21.8,-27,6.08,0.14235,-1.80000
51.7,-24,9.36,0.21922,-1.60000
81.5,-21,11.75,0.27524,-1.40000
162.7,-18,16.60,0.38889,-1.20000
264,-15,21.14,0.49537,-1.00000
416,-12,26.54,0.62184,-0.80000
558,-9,30.74,0.72019,-0.60000
800,-6,36.80,0.86233,-0.40000
944,-3,39.98,0.93673,-0.20000
1076,0,42.68,1.00008,0.00000
1068,3,42.52,0.99636,0.20000
994,6,41.02,0.96122,0.40000
836,9,37.62,0.88152,0.60000
632,12,32.71,0.76646,0.80000
508,15,29.33,0.68717,1.00000
326,18,23.49,0.55048,1.20000
227,21,19.61,0.45935,1.40000
122,24,14.37,0.33675,1.60000
52,27,9.38,0.21985,1.80000
9.12,30,3.93,0.09207,2.00000
2.92,33,2.22,0.05210,2.20000
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,